title,album,duration,genre,songwriter,year
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,335,"Psychedelic Rock, Art Rock, Pop/Rock",Lennon and McCartney,1967
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,157,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",1967
Fixing a Hole,Sgt. Pepper's Lonely Hearts Club Band,146,"Psychedelic pop, Baroque Pop, Pop/Rock",McCartney,1967
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,167,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",1967
"Good Morning, Good Morning",Sgt. Pepper's Lonely Hearts Club Band,161,"Rock, Hard Rock, Pop/Rock",Lennon,1967
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,162,"Psychedelic Folk, Music Hall, Pop/Rock",McCartney,1967
Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,208,"Psychedelic Rock, Pop/Rock",Lennon with McCartney,1967
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,80,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,1967
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,119,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,1967
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,215,"Baroque Pop, Pop/Rock","McCartney, with Lennon",1967
When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,157,"Music Hall, Pop/Rock",McCartney,1966
With a Little Help from My Friends,Sgt. Pepper's Lonely Hearts Club Band,164,"Pop Rock, Psychedelic Pop, Pop/Rock",Lennon and McCartney,1967
Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,305,"Indian Classical, Raga Rock, Pop/Rock",Harrison,1967
